yearcode,region,regionname,tenure4,tenurename,poverty,povertyname,ten4s
2018,1,London,1,Owner occupier,0,Not poor,47.8252071088112
2017,1,London,1,Owner occupier,0,Not poor,48.5576023120594
2016,1,London,1,Owner occupier,0,Not poor,50.1681297885434
2015,1,London,1,Owner occupier,0,Not poor,51.2801729821543
2014,1,London,1,Owner occupier,0,Not poor,50.7051763216878
2013,1,London,1,Owner occupier,0,Not poor,50.0473115777777
2012,1,London,1,Owner occupier,0,Not poor,51.3849533094868
2011,1,London,1,Owner occupier,0,Not poor,53.6211668291842
2010,1,London,1,Owner occupier,0,Not poor,55.5547067335484
2009,1,London,1,Owner occupier,0,Not poor,55.9934972771775
2008,1,London,1,Owner occupier,0,Not poor,55.2235721458098
2007,1,London,1,Owner occupier,0,Not poor,55.5639646801228
2006,1,London,1,Owner occupier,0,Not poor,56.5392378924488
2005,1,London,1,Owner occupier,0,Not poor,57.6192935748485
2004,1,London,1,Owner occupier,0,Not poor,58.6415376957202
2003,1,London,1,Owner occupier,0,Not poor,58.8462211588727
2002,1,London,1,Owner occupier,0,Not poor,59.6477441427588
2001,1,London,1,Owner occupier,0,Not poor,61.03355568728
2000,1,London,1,Owner occupier,0,Not poor,61.9567551454545
1999,1,London,1,Owner occupier,0,Not poor,62.0692235129251
1998,1,London,1,Owner occupier,0,Not poor,61.7621694677699
1997,1,London,1,Owner occupier,0,Not poor,62.7081958140122
1996,1,London,1,Owner occupier,0,Not poor,63.36931964023
1995,1,London,1,Owner occupier,0,Not poor,62.6884581530127
1994,1,London,1,Owner occupier,0,Not poor,62.3255154431261
2018,1,London,2,Social rent,0,Not poor,10.2181369284818
2017,1,London,2,Social rent,0,Not poor,10.4353407469365
2016,1,London,2,Social rent,0,Not poor,10.4305313531219
2015,1,London,2,Social rent,0,Not poor,10.3097334746531
2014,1,London,2,Social rent,0,Not poor,10.7868949007771
2013,1,London,2,Social rent,0,Not poor,10.8126951031637
2012,1,London,2,Social rent,0,Not poor,10.0016405959599
2011,1,London,2,Social rent,0,Not poor,9.76593425723891
